prediction,uncertainty
171.44,56.14291050524544
171.485,78.0055111835055
156.815,65.1630322729076
162.22,49.692067777463244
189.85,62.88089932562986
183.86,60.15871009255436
162.2,66.78592666123602
162.675,54.69240692271643
193.335,74.61456141397605
178.82,50.72807506696858
189.425,53.15519142097035
177.845,57.1717672894585
170.96,52.83084704980603
192.46,62.50478701667579
180.705,67.5578861051765
159.435,52.209537203465054
202.12,65.7574756206471
172.355,54.566280567764544
174.8,53.08841681572357
155.37,41.39544781736272
179.19,57.4508824997493
176.17,56.590203215751075
208.145,59.936582943975054
173.8,68.8759028978931
170.305,53.73501628361155
180.935,68.53620047099199
168.525,45.12947346247236
161.29,69.61706615478707
162.52,55.593970896132255
157.315,61.244720384699264
175.885,66.88738128376683
160.26,48.523627234575116
147.69,47.72749626787476
140.39,53.364481633386056
167.05,58.53663382874007
164.515,38.83786522197121
156.54,43.10357757773709
149.975,49.972135985967185
141.99,51.415852613761054
148.18,40.80695528950916
150.585,41.827297008054444
163.215,51.5892311921781
127.175,51.9633945677147
156.405,49.51697663428172
156.1,48.52246902209323
163.53,44.17090784668119
168.8,53.84774832804061
144.805,58.981496886735606
147.365,45.23617772314547
148.255,52.88307834269863
144.25,49.99677489598704
138.865,44.68195133384397
143.82,49.33545986407749
148.015,47.467512837729345
132.2,50.07184837810564
144.45,49.94424391258716
131.75,51.74125529980887
142.535,54.23586244358984
157.78,43.19978703651211
163.975,51.40626785713975
148.885,53.44278973818639
148.355,46.42433602109997
116.415,48.79070377643678
145.06,53.58363929409799
147.525,42.97801036576728
156.845,48.93537549666908
135.57,44.084635645539834
170.525,62.33289159825656
144.665,43.23358387873945
143.305,51.49370811079738
163.93,43.8773871145491
154.255,48.2632362673702
156.66,46.77600239439024
141.72,55.322884957312205
128.665,48.620805988794544
154.325,39.839294358710745
150.7,48.29865422555788
139.79,44.969499663660926
131.94,45.617720241151886
151.15,47.0296449061653
137.615,51.168122644865534
148.355,47.599779148647315
144.61,54.22405278103068
140.35,47.91322886218377
125.21,49.469848392733105
152.13,42.8778859087059
143.585,53.84823836487133
145.395,43.31441994301667
129.84,51.99965769118101
138.8,47.472518365892505
138.11,49.54682532715898
141.98,48.934646213087106
143.32,47.68267609939693
122.54,53.207597201903425
134.525,45.96302182189503
163.165,44.501997427081854
139.015,46.26126646558652
137.08,54.80322618240645
133.31,45.744987703572505
138.765,45.98271169689756
149.365,50.83337265025801
138.365,54.492492831581835
134.515,55.13501405640522
152.935,44.76885943376266
120.545,52.802537581067064
137.645,46.58378446412442
134.8,51.76842667108979
136.105,55.08224736700564
123.25,41.01386960529328
101.955,42.86470546965183
135.47,46.32913877895856
144.85,51.44596680012922
89.865,47.513543069318665
109.81,53.02908541545856
141.05,46.306667986371046
137.13,50.786249123163245
139.75,43.40930199853483
149.475,54.764490091664335
137.24,47.69981551327009
140.895,50.84814622972993
128.175,50.19257290675584
135.26,49.86594429066795
124.53,44.03270489079679
144.56,52.01015670039845
135.515,59.554091169289116
137.24,59.030859726078866
126.57,51.4625601772784
129.515,44.38276439114626
148.455,47.86834000673094
118.46,59.88537718007629
140.185,50.8870393617078
138.795,48.84181584462233
148.935,44.419036178197295
118.06,48.82086029557447
146.86,49.22774014719748
147.875,51.28390951360865
130.77,52.84616447766098
108.235,43.7451685903712
139.06,50.84689174374378
130.175,45.46959835978321
120.73,50.107555318534544
139.07,54.14946998817256
138.49,59.66347207462869
134.73,55.347421800839115
148.63,63.358528234169086
147.645,50.6920010948473
136.185,47.022662355506846
125.185,50.248689286388355
119.49,49.48989694877126
129.3,46.53632989396564
134.46,44.03757940668403
136.49,59.989831638370184
115.99,46.323319181595785
152.67,49.100724027248305
135.73,54.603178478912746
128.2,59.18631598604528
104.24,43.46955716360589
130.585,50.78299690841415
130.805,48.63051485435866
147.205,52.15144269337137
145.3,62.46687121987141
150.58,43.79673047157745
130.035,54.47149506852183
122.62,53.85142152255594
122.43,47.908611960690315
136.905,54.87017381966274
84.975,31.582026138295802
97.305,38.752444761588904
111.92,50.395075156209444
136.34,58.47285182031059
133.9,48.41972738461048
106.615,52.02678901296907
130.845,62.29631590230677
113.205,44.82792628485059
110.895,61.60327893058939
124.805,49.964557188070806
152.54,50.261699135624134
121.6,50.83709275715913
113.885,52.64372493469665
108.08,49.31991078661841
133.635,55.06125475322917
119.32,50.49492647781557
110.655,42.36137362031595
97.29,43.61566117806767
123.145,52.22637240896595
109.925,54.33957466708771
141.175,52.907224223162586
112.52,45.88877422638351
109.3,49.275348806477275
140.41,55.73618124701404
84.75,40.02933299469278
70.78,35.60198870849774
75.92,34.28736793631147
70.7,32.51753373181921
100.08,49.61414717598197
107.29,54.61580265820507
72.3,33.59330290400158
89.08,47.02279872572452
83.345,39.99107369151271
51.795,19.30862436840077
94.995,43.41111579998837
72.055,33.40197561522372
57.875,30.785863232984063
76.84,41.59668736810661
63.27,39.999838749674986
58.575,25.324185574268718
141.935,44.69810706282762
141.01,41.31730751150177
159.485,73.9937144289973
152.16,43.56173091143188
132.43,56.43212826041562
157.83,51.24032689200957
143.705,59.239918762604674
138.29,49.42818932552559
142.645,46.29631707814351
147.55,60.35310679658506
142.025,49.1774783310409
152.635,55.623931675134216
140.295,84.47696712714067
140.705,47.08076013617454
119.68,44.44049504674763
127.555,57.162723649245386
125.625,50.833594944682005
161.45,65.66755287050064
141.325,43.76333368243331
149.73,46.10484898576288
149.075,50.88623954469422
157.025,41.410196510038425
133.595,48.70894142762702
138.325,49.42832563419482
158.6,53.26143069802011
135.485,55.47251368921366
156.49,63.21756006047686
143.03,48.47183821560722
142.71,50.72391842119455
135.995,51.726636996812374
136.82,51.76994881202801
108.785,47.571302010771134
151.695,54.709249446505844
146.09,50.046897006707624
135.43,44.64095765101819
178.67,75.60073478478895
131.345,51.8684487429497
137.355,51.58797316235635
147.525,63.05964934092166
152.37,49.088726811764026
136.105,52.95369651875117
143.215,43.719089366088134
144.49,49.56046710837178
137.925,52.31853758468408
140.765,52.889410802163404
141.285,47.78926422325414
124.42,45.38417785969027
160.54,56.931787254573344
149.41,45.319663502722534
135.08,46.95746586007384
159.14,68.4232445883707
147.79,51.10974368943753
140.235,48.203731961332615
150.35,44.764131846825734
135.32,44.14496120736769
140.795,48.83188481924491
135.725,55.63882974146741
133.97,47.399990506328166
148.58,49.18895811053536
139.805,48.360283032670516
136.175,56.80479183132353
139.39,53.12210368575403
142.7,46.78087215946282
151.36,56.7805459642649
118.945,50.25685997950926
138.13,43.19147022271873
156.38,65.874240792589
147.795,60.16164039485626
127.15,52.77146482712034
115.365,40.33077949903772
137.035,45.605523514153404
120.145,46.75194086880245
121.59,49.069867535994035
107.345,38.197067623051886
115.635,47.79008029915831
112.56,58.78440609549441
143.775,47.59059124448862
145.375,55.64210972815463
128.15,49.89576635346928
132.3,46.85189430535334
145.185,51.78610600344457
148.58,48.87088703921795
138.94,48.48521836601337
154.075,46.78310993296623
133.23,48.266314340334716
130.375,38.4593860455416
119.18,52.59512905203293
143.795,46.472712154553676
133.005,54.527286517852716
133.925,50.208558782343076
138.145,54.905864668539735
141.73,53.07491968905843
135.425,53.78488983906167
110.96,47.71119784704635
138.8,48.70246400337463
128.615,46.333322511989124
125.66,51.537698823288565
100.28,42.731856968776825
104.13,45.246249568334385
108.265,45.249472648860774
83.16,39.73819824803334
141.58,60.24179280200749
126.43,47.52152249244545
114.565,53.0988302601856
99.735,45.18489542977831
121.58,54.053340322314945
158.805,53.71160931307125
145.805,48.821992738928635
147.42,53.52582180592839
147.105,41.04075992230164
150.105,59.13200465906767
141.415,54.934440699801414
140.84,45.240296197085186
125.72,48.13264588613428
131.87,49.42613782200668
113.52,49.15475155058766
149.98,56.37880452794295
151.72,52.58889236331186
135.89,52.783405536209955
140.65,47.41906262253608
150.395,48.58537820167708
158.7,61.46096322056789
158.645,56.41541433863621
136.725,52.25284083186289
135.625,52.35393371084927
131.56,47.99777494842862
159.215,56.6163295790181
143.46,45.386544261487884
129.895,48.0661416695786
137.27,54.37671468560785
147.85,48.375381135449445
146.035,45.83485327782778
153.59,57.64886729156089
134.075,58.57601364893313
132.8,52.00480747007915
139.64,50.63734195235767
146.635,60.265012859867554
136.56,49.04269976255386
140.93,55.150930182545416
150.225,54.523796410374786
139.475,45.60448854005491
144.835,46.5300738770099
130.1,46.12515582629503
136.9,49.52988996555513
147.0,49.31906325144467
147.24,52.239471666547324
137.6,51.86299258623629
121.075,50.87690414127026
137.895,52.488703308426274
130.44,47.53636923451347
151.165,57.51823862915136
138.29,48.99403943338414
146.93,58.91014428772007
131.225,50.57414729879289
136.74,48.83065021070269
152.825,38.73169729046226
141.685,40.05391085774272
148.95,44.4425190555171
135.605,48.24022154799873
137.8,47.436589253444446
136.065,61.096651094802226
152.22,50.17969310388416
144.16,52.896260737409406
133.875,47.82822780534524
134.575,54.058064846977246
142.14,52.11209456546532
151.195,54.30328696312957
115.325,40.35640438641679
161.865,57.04144786907146
128.74,53.1901532240696
158.455,46.96720105563029
131.53,46.58571776843201
130.235,48.26592768195799
114.585,47.64339172435147
143.13,52.59194900362601
137.14,49.78966157748011
128.945,48.49929870626997
148.18,54.381960244183915
127.98,51.81215687461776
84.28,31.872740704244432
140.63,42.94465158782873
137.365,51.33528781452383
148.83,42.5377608719594
155.74,51.883064674323165
124.595,47.17977294349771
146.475,52.135778262149294
141.475,50.93112383405651
116.67,47.89708863803726
131.035,43.41950915199296
132.565,53.6783548089917
136.095,44.31823524239206
133.155,51.82317025231091
97.56,42.417524680254516
131.49,50.67711416408793
128.58,50.299638169672754
124.425,47.30216036292636
147.69,51.01042932577613
134.84,48.84039721378196
126.575,59.185677110260364
134.1,57.134315433021506
100.9,49.0805460442322
136.645,57.397116434538766
130.015,51.9221029524036
118.775,49.082526167669876
160.415,53.81480070575381
142.425,59.707908814494566
147.2,51.621410286818005
139.32,56.04371151164062
167.45,71.10441266194378
150.085,56.127958942045986
134.505,50.68747355116448
156.385,63.13538449237478
142.285,54.351299662473586
143.8,61.008769861389574
158.65,63.396825630310566
139.91,51.41888660793815
143.915,53.95579463783291
126.0,50.66517541665083
136.065,53.01726864899775
150.4,46.31727539482433
154.225,65.86056767899895
179.975,70.22388749563787
151.37,60.23274109651659
146.51,51.09960763058752
147.18,45.48106858902945
148.035,55.99485489757071
148.195,57.82315258613976
146.62,49.24292436482625
140.06,55.48798428488819
143.19,53.61057638190435
135.52,52.517421871222886
149.355,48.940872233747534
147.345,63.91170452272416
146.45,55.61526319276031
139.26,51.754153456510124
139.625,46.99398232752785
137.31,43.520269989971325
153.96,52.327415376645526
139.77,44.34700779083071
153.73,43.201008090089736
167.39,67.36681601500847
148.655,55.22930358967059
146.18,55.518894081204486
140.6,42.403419673417844
154.545,56.06895732042821
128.885,48.40136129283968
160.63,63.37643962861907
123.46,49.4220436647454
131.89,49.7996777098005
147.66,50.54121486470224
135.45,45.72797283939011
157.44,65.26650289390419
153.645,46.93451794788138
148.28,54.12690273791768
150.11,53.04071926359975
146.38,57.62391517417051
140.205,44.45596669739618
138.22,54.14897598293066
141.115,52.87373426381004
168.705,65.9798300619212
126.865,47.01698389943787
159.945,74.03527520716055
147.925,46.94016803335925
137.27,52.3433577447989
154.12,71.4806659174353
123.58,52.12689900617528
152.64,50.27852822030494
147.98,47.85477614616958
135.61,56.08536261806642
138.835,52.43565366236985
142.77,50.09248546438876
140.565,59.18002851469404
158.45,54.939580449799564
133.855,49.92758731402911
135.365,48.380592958334034
123.46,49.089188218995844
134.955,53.65047040800293
115.305,48.990325320414016
135.14,50.101800366853084
126.79,45.48940426077263
134.135,52.02736563578825
147.79,56.44285517228908
143.8,52.21800455781513
106.45,47.92564553555854
142.62,55.09814515934272
131.185,48.82664001341891
124.215,47.21089678241666
162.46,66.13409408164597
123.995,51.2471948012767
150.775,44.758288338585956
140.485,57.80994529490576
122.645,46.80543745121927
149.655,49.07622616909331
143.525,50.9470251830271
133.94,42.47642169486502
140.475,55.78332524150922
139.42,47.001314875224494
153.84,57.35594476599612
122.305,55.78433449455142
117.335,47.132290152293685
151.07,64.37526776643338
140.195,48.53974634255932
133.375,45.30964991036678
132.94,52.38755959194892
134.34,54.742893602731655
133.685,44.2556863578004
148.655,52.34707226770185
145.01,56.6407971342212
123.975,48.715648153339814
163.005,46.18370897838326
181.59,43.162969082304805
210.725,41.21431031814071
195.365,68.51672624257529
156.18,56.0188146964928
196.04,42.53620105275035
203.445,58.61720715796685
158.075,44.130707846124565
162.42,50.15310159900381
181.84,52.491184021700256
157.915,38.78875835857601
196.635,40.045371455387944
181.595,54.039254019647615
170.74,62.70990671337346
196.99,42.41803743692062
178.68,59.15207181494154
172.15,47.63945318745796
204.11,43.18538989056367
172.295,47.35333119221919
215.96,43.03798787118189
208.46,38.523478555291476
197.345,44.77606475562585
171.52,50.543640549529066
169.88,61.30045350566342
186.615,70.08578154661613
185.01,51.120151603844064
204.865,48.81686977879675
171.77,49.315282621110455
161.815,48.85151763251578
180.555,56.040315621880666
187.68,48.617976099381195
190.28,42.9085259593009
180.49,41.04010112073312
194.84,61.665423050523216
176.295,43.85143070642051
157.99,57.46442290669941
143.435,46.94726589483143
188.01,54.276144852043444
187.255,59.651571437808734
169.75,52.4705393530503
172.0,41.08284313433042
176.255,55.21430951302389
185.15,46.77518038447312
145.43,54.58786586779153
182.9,52.4874270659174
183.73,46.11829463455908
153.53,52.34079766300852
180.8,61.620207724414534
167.21,44.21069893136728
163.915,55.89094537579409
183.175,43.7708164762779
182.65,41.62352099474525
173.475,46.38026924242674
195.73,43.86168145431728
171.905,43.32685050866264
145.57,55.946716615007894
186.875,60.25487013511854
175.155,59.76638666508124
182.13,38.57568016250655
188.265,40.729409214964086
208.355,54.36578864506611
189.855,42.08876304906097
167.95,39.04507011134699
164.085,55.330622398451304
182.655,54.34929599360051
154.115,57.7928349797793
156.705,51.09538115133305
174.305,57.93636142354815
161.675,63.45186659980932
213.995,45.67521182216893
183.615,51.15512462109735
188.06,34.577108034073646
152.38,44.16792501352086
149.09,51.29709445962802
174.635,59.83161183688771
168.22,55.414272529737325
161.925,66.81533787237777
176.835,45.50755733941341
159.185,48.953455189598216
168.795,48.40984378202434
147.8,49.02631946210118
170.85,55.830345691209914
159.285,42.55706492463971
156.61,42.952507493742424
157.595,41.90550053393946
183.665,70.95817623783746
170.535,71.86883034389804
156.8,45.068725298148834
172.0,57.015261114897996
185.615,52.59436067678739
170.265,52.606128682882556
164.91,43.33764991321056
141.175,48.589961669052606
162.85,65.3513389304305
190.285,46.398208747752335
182.695,47.23348362126173
138.995,41.04771583170006
169.725,58.98533186309967
158.35,51.82072461863108
147.415,43.782219850071534
165.47,55.60466796951494
153.05,49.45803776940611
176.465,64.34966025551338
168.255,39.41141934769667
192.755,45.27444063707467
189.16,46.57600669872847
160.575,53.68141554579201
165.55,76.00768053295667
178.2,49.88226137616459
159.02,60.9687592132233
130.76,57.35270176722277
171.505,62.6143751466067
141.875,57.000433112389594
151.92,56.32187496878988
156.625,69.76764561743502
172.87,57.76143263458759
136.22,44.340405952133544
144.61,43.487790240480145
135.83,59.118957196486505
146.91,57.845240945128744
149.425,39.67057316197989
153.22,55.24727685596821
161.095,47.08721668351188
135.265,41.47402530500265
140.81,50.09055699430783
136.685,51.18374522248251
148.2,40.6288075138811
138.255,40.63877428023635
168.09,48.76188983212197
139.645,54.46419902100826
134.85,41.51129364401934
149.465,62.07550865679636
131.115,40.68220464773264
169.275,60.294936561870614
165.595,40.77990896262522
